user_id,item_id,rating,age,gender,occupation,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
749,240,1,33,0,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
637,363,2,30,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,111,4,22,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
815,175,3,32,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,127,5,49,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
815,837,5,32,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
398,87,4,40,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
456,484,4,24,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
541,265,5,19,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,815,4,47,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
268,284,3,24,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
152,871,3,33,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
207,183,2,39,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
407,176,4,29,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
447,180,5,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
566,1065,5,20,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
87,845,4,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,751,4,27,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
311,43,4,32,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
684,63,4,28,0,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
707,313,2,56,1,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
650,233,2,42,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,412,3,50,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
295,405,5,31,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
587,876,2,26,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
536,148,4,38,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,193,4,40,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
765,14,5,31,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
94,153,5,26,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
271,625,3,51,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919,327,4,25,0,13,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
705,191,1,21,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
793,685,3,22,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
382,290,4,45,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
446,268,2,57,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
198,549,3,21,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
311,614,4,32,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
489,1293,5,55,0,13,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
374,156,2,36,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
158,216,3,50,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
267,210,4,23,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,410,1,48,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
846,484,5,27,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,31,3,24,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
774,1218,3,30,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
889,1267,3,24,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
399,301,4,25,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
872,685,4,19,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
269,81,3,31,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
463,744,3,48,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
396,281,3,57,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
783,333,4,30,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
438,281,4,51,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
690,722,3,35,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,193,4,40,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,191,4,42,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
139,307,4,20,0,18,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
357,748,5,26,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
543,432,4,33,0,17,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
887,181,5,14,1,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
7,572,3,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,134,5,39,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
265,284,4,26,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
59,240,2,49,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
660,747,4,26,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
788,323,3,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
236,505,3,44,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
243,275,3,33,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
622,380,4,25,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
452,780,1,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
540,473,3,28,0,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
711,731,4,22,1,18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
15,9,4,49,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
407,478,4,29,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
640,134,5,20,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,672,3,28,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
385,492,2,36,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
537,286,3,36,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
468,19,4,28,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,888,2,40,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
894,324,3,47,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
